rank,train_mean,train_std,test_mean,test_std
1,0.0004614130881964229,9.243761169961407e-05,0.0006164290075661484,9.871486956134316e-05
2,0.0001633415629621595,1.457481689024167e-05,0.0002458917773815301,1.1256494666953351e-05
3,0.00015642873146862258,1.2573890038915109e-05,0.0002519167517364622,2.040170665674279e-05
4,0.00014491573507257273,1.1662783608807126e-05,0.00024302928530532883,2.5851672714312244e-05
5,0.00015070922947779764,7.397001100591717e-06,0.00025152983470434266,1.9294878834914708e-05
6,0.0001386519352090545,1.1343868879190103e-05,0.0002276875704577833,2.654881060291166e-05
7,0.00016187015362083913,1.417380797348676e-05,0.00026780957396749727,4.109161025694317e-05
8,0.00014599940880725629,8.124686912195775e-06,0.00025264883174204444,4.459474317582276e-05
9,0.0001531245663500158,1.8031786357374016e-05,0.00023864068278926426,1.5674625690146703e-05
10,0.00015474294382147492,9.745889858537314e-06,0.0002626021743091769,3.732840455514298e-05
11,0.00015382400871021673,8.803729117551747e-06,0.0002442139436241632,3.689189417580143e-05
12,0.0001537864810525207,9.598698803115607e-06,0.00024199198376527423,3.184662226151774e-05
13,0.00014779215233284048,8.607107507653449e-06,0.00024935919089161875,3.918102009904989e-05
14,0.00014475965657038617,8.84242081437483e-06,0.00024514811566568823,3.528559121244609e-05
15,0.0001576585590664763,1.996127471717885e-05,0.00025570488087432746,9.312240936097048e-05
16,0.00015436630099429746,1.0565994339208684e-05,0.00023676022926147198,3.461938694794753e-05
17,0.00016986249916953967,1.4220894996277594e-05,0.00019172701447641883,2.0334220022204143e-05
18,0.0001638228198135039,1.1961548778487336e-05,0.00017761853408369463,1.0868648368248598e-05
19,0.00017813459671742752,1.1868726022216036e-05,0.0001939556248948975,5.329866158389859e-06
20,0.00017034602619241923,8.439013393998279e-06,0.0001866663016203347,7.362926348793916e-06
21,0.0001703577908483567,9.353468199253293e-06,0.0001916455865818534,1.6247819096458166e-05
22,0.00017778700857888906,6.180713081357516e-06,0.0001992739752846319,9.3423015909447e-06
23,0.00017183667758945376,7.65536932057766e-06,0.00019507668776950595,1.012816690469457e-05
24,0.00017808431928278878,1.3597314968649849e-05,0.00020160607648967926,2.0182994815137837e-05
25,0.00017931348708225415,5.660827223938939e-06,0.00019925048936393072,1.0054095283381046e-05
26,0.00017088393469748552,1.0301368662421673e-05,0.00019115328662355752,1.4588664661025198e-05
27,0.0001753892379347235,1.0887404457797279e-05,0.0001955952775805599,2.5325918531197265e-05
28,0.00017855082896130623,1.0762299394240785e-05,0.00020505845759516888,2.3478869806294652e-05
29,0.00018097501629381444,1.2351268631954062e-05,0.00020718163343717605,2.1246430662975475e-05
30,0.0001799418925656937,9.889893479917295e-06,0.00019691432865847675,1.0152752194022601e-05
31,0.00017476560997602066,5.505329031989823e-06,0.00019129081168339326,1.5082995613484245e-05
32,0.00019727376863011158,1.591010460911241e-05,0.0002236045605766776,2.5061257219632173e-05
